"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","40","732-7685-1-ND","885012208013","CAP CER 1UF 10V X7R 1206","C1C3,C4,C5,C7,C8,C10,C18,C19,C20,C21,C23,C24,C14","40","0","0.14400","5.76"
"2","10","732-8109-1-ND","885012208058","CAP CER 0.1UF 25V X7R 1206","C11","10","0","0.09800","0.98"
"3","10","587-AMK316ABJ107ML-TCT-ND","AMK316ABJ107ML-T","CAP CER 100UF 4V X5R 1206","C12,C13,C15","10","0","0.57500","5.75"
"4","21","ADCMP371AKSZ-REEL7CT-ND","ADCMP371AKSZ-REEL7","IC COMPARATOR PUSH-PULL SC70-5","COM4, COMP1, COMP2, COMP3, COMP5, COMP6, COMP7","21","0","0.78200","16.42"
"5","10","641-1645-1-ND","ACURN105-HF","DIODE GEN PURP 1KV 1A 1206","D1, D2","10","0","0.39600","3.96"
"6","6","732-5462-5-ND","61000821121","CONN HEADER SMD 8POS 2.54MM","J2, J3","6","0","1.72000","10.32"
"7","10","732-4990-1-ND","150120GS75000","LED GREEN CLEAR 1206 SMD","LED1","10","0","0.21000","2.10"
"8","10","732-4989-1-ND","150120BS75000","LED BLUE CLEAR 1206 SMD","LED2","10","0","0.21000","2.10"
"9","5","296-11602-1-ND","SN74LVC1G08DCKR","IC GATE AND 1CH 2-INP SC70-5","ND2","5","0","0.29000","1.45"
"10","5","NC7WZ04P6XCT-ND","NC7WZ04P6X","IC INVERTER 2CH 2-INP SC88","NOT1","5","0","0.42000","2.10"
"11","25","TC33X-103ECT-ND","TC33X-2-103E","TRIMMER 10K OHM 0.1W J LEAD TOP","P1, P2, P3, P4, P5, P6, P7","25","0","0.22760","5.69"
"12","5","455-1738-1-ND","B6B-PH-SM4-TB(LF)(SN)","CONN HEADER SMD 6POS 2MM","P10","5","0","0.77000","3.85"
"13","5","FDN340PCT-ND","FDN340P","MOSFET P-CH 20V 2A SUPERSOT3","PCM1","5","0","0.52000","2.60"
"14","6","13-RT1206BRD0750KLCT-ND","RT1206BRD0750KL","RES SMD 50K OHM 0.1% 1/4W 1206","R2, R4","6","0","0.62000","3.72"
"15","10","13-RC1206JR-130RLCT-ND","RC1206JR-130RL","RES 0 OHM JUMPER 1/4W 1206","","10","0","0.05500","0.55"
"16","10","A130538CT-ND","CRGP1206F1K0","CRGP 1206 1K0 1%","R6","10","0","0.26500","2.65"
"17","100","A129822CT-ND","CRGCQ1206F10K","CRGCQ 1206 10K 1%","R9R10,R11,R12,R13,R14,R15,R17,R20,R21,R23,R24R22","100","0","0.03020","3.02"
"18","20","A129802CT-ND","CRGCQ1206F220R","CRGCQ 1206 220R 1%","R18, R19","20","0","0.07400","1.48"
"19","3","PB1061CT-ND","IM03GR","RELAY TELECOM DPDT 2A 5VDC","RLY1","0","3","3.55000","10.65"
"20","5","497-3484-1-ND","LD2981CU50TR","IC REG LINEAR 5V 100MA SOT89-3","U1","5","0","0.70000","3.50"
"21","10","296-8411-1-ND","SN74HCT32PWR","IC GATE OR 4CH 2-INP 14TSSOP","U2","10","0","0.32400","3.24"
